<Jafar_Sharif-Emami>,<male>,"شریف امامی"@fas
<Jafar_Towfighi>,<male>,"جعفر توفيقي داريان"@fas
<Jahangir_Amuzegar>,<male>,"جهانگير آموزگار"@fas
<Jamal_Karimi-Rad>,<male>,"جمال كريمي راد"@fas
<Jamileh_Kadivar>,<female>,"جمیله کدیور"@fas
<Jamshid_Amouzegar>,<male>,"جمشید اموزگار"@fas
<Jamshid_Bahman_Jamshidian>,,"جمشید جمشیدیان"@fas
<Javad_Etaat>,,"جواد اطاعت"@fas
<Javad_Shahrestani>,<male>,
<Kamal_Habibollahi>,<male>,"کمال الدین میرحبیب اللهی"@fas
<Kamal_Kharazi>,<male>,"كمال خرازي"@fas
<Kamran_Bagheri_Lankarani>,<male>,"کامران باقری لنکرانی"@fas
<Kamran_Daneshjoo>,<male>,"كامران دانشجو"@fas
<Karim_Khodapanahi>,<male>,
<Karim_Sanjabi>,<male>,"كريم سنجابي"@fas
<Kasra_Nikzad>,<male>,
<Kazem_Rajavi>,<male>,"كاظم رجوي"@fas
<Kazem_Sami>,<male>,"دکتر سامی"@fas
<Kazem_Seddiqi>,<male>,"حجت الاسلام صديقي"@fas
<Kazem_Vaziri_Hamaneh>,<male>,
<Khadijeh_Saqafi>,,"خديجهٔ ثقفي"@fas
<Khosrow_Jahanbani>,,
<Kuchik_Khan>,<male>,"سردار جنگل"@fas
<Leila_Pahlavi>,,
<Levon_Davidian>,<male>,"لون داويديان"@fas
<Mahmoud_Ahmadinejad>,<male>,"احمدی‌نژاد"@fas
<Mahmoud_Alavi>,<male>,"محمود علوي"@fas
<Mahmoud_Djam>,<male>,
<Mahmoud_Farshidi>,<male>,
<Mahmoud_Hashemi_Shahroudi>,<male>,"محمود هاشمي شاهرودي"@fas
<Mahmoud_Hessaby>,<male>,"دکتر محمود حسابی"@fas
<Mahmoud_Jam>,,"محمود جم"@fas
<Mahmoud_Taleghani>,,
<Mahmudali_Chehregani>,<male>,"چهرگاني"@fas
<Mahmud_Mahmud>,<male>,
<Majid_Namjoo>,<male>,"مجيد نامجو"@fas
<Manouchehr_Eghbal>,<male>,"منوچهر اقبال"@fas
<Manouchehr_Ganji>,<male>,
<Manouchehr_Mottaki>,<male>,"متکی"@fas
<Mansoor_Hekmat>,<male>,"منصور حکمت"@fas
<Manutchehr_Salimi>,<male>,"منوچهر سليمي"@fas
<Maryam_Rajavi>,<female>,"مریم رجوی"@fas
<Marzieh_Vahid-Dastjerdi>,<female>,"مرضیهٔ وحید دستجردی"@fas
<Masoud_Mir_Kazemi>,<male>,"مسعود میر کاظمی"@fas
<Masoud_Pezeshkian>,<male>,"مسعود پزشكيان"@fas
<Masoumeh_Ebtekar>,<female>,"خواهر مري"@fas
<Mass'oud_Mirza_Zell-e_Soltan>,<male>,"ظل‌السلطان"@fas
<Massoud_Rajavi>,<male>,"مسعود رجوی"@fas
<Maurice_Motamed>,<male>,
<Mehdi_Bazargan>,<male>,"مهدی بازرگان"@fas
<Mehdi_Ghazanfari>,,"مهدی غضنفری"@fas
<Mehdi_Hashemi>,<male>,"سید مهدی هاشمی"@fas
<Mehdi_Hashemi_Rafsanjani>,,
<Mehdi_Karroubi>,<male>,"كروبي"@fas
<Mehdi_Qoli_Hedayat>,<male>,"ميرزا مهدي قلي خان مخبرالسلطنه"@fas
<Mina_Ahadi>,<female>,"مينا احدي"@fas
<Mir-Hossein_Mousavi>,<male>,"میرحسین موسوی خامنه ای"@fas
<Mirza_Abolhassan_Khan_Ilchi>,<male>,"ابوالحسن شیرازی"@fas
<Mirza_Ali_Asghar_Khan_Amin_al-Soltan>,<male>,
<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>,,"ميرزا علي اصغر امين السلطان"@fas
<Mirza_Hassan_Khan_Esfandiary>,<male>,
<Mirza_Hosein_Khan_Moshir_od-Dowleh>,<male>,"ميرزا حسين خان مشيرالدوله"@fas
